STATE,AGE,SEX,PER_TYP,INJ_SEV,ST_CASE,MONTH,DAY,HOUR,MINUTE,YEAR
1,44,1,1,4,10001,1,1,7,45,2002
1,28,2,1,0,10002,1,3,20,35,2002
1,25,1,2,4,10002,1,3,20,35,2002
1,26,1,1,4,10003,1,1,2,10,2002
1,33,1,1,4,10004,1,3,1,0,2002
1,39,2,1,4,10005,1,3,1,5,2002
1,74,1,1,4,10006,1,2,11,40,2002
1,64,2,1,4,10007,1,4,15,40,2002
1,48,2,1,0,10008,1,7,11,35,2002
1,27,1,2,4,10008,1,7,11,35,2002
1,51,1,1,0,10008,1,7,11,35,2002
1,45,1,1,4,10009,1,18,23,0,2002
1,60,1,1,4,10010,1,16,4,50,2002
1,41,1,1,3,10010,1,16,4,50,2002
1,78,1,1,3,10011,1,3,14,35,2002
1,78,2,2,4,10011,1,3,14,35,2002
1,67,1,2,3,10011,1,3,14,35,2002
1,68,2,2,3,10011,1,3,14,35,2002
1,28,1,1,0,10011,1,3,14,35,2002
1,99,9,2,0,10011,1,3,14,35,2002
1,32,1,1,4,10012,1,10,23,20,2002
1,31,1,1,4,10013,1,14,17,40,2002
1,34,1,2,2,10013,1,14,17,40,2002
1,16,2,1,3,10014,1,2,9,15,2002
1,13,2,2,4,10014,1,2,9,15,2002
1,22,1,1,3,10015,1,5,23,50,2002
1,18,1,2,3,10015,1,5,23,50,2002
1,22,1,2,3,10015,1,5,23,50,2002
1,19,1,2,3,10015,1,5,23,50,2002
1,41,1,1,4,10015,1,5,23,50,2002
1,10,2,2,3,10015,1,5,23,50,2002
1,27,1,1,4,10016,1,11,19,25,2002
1,21,1,1,4,10017,1,14,5,0,2002
1,78,1,5,4,10019,1,15,15,45,2002
1,33,2,1,0,10019,1,15,15,45,2002
1,53,1,1,4,10020,1,20,2,36,2002
1,40,1,2,4,10020,1,20,2,36,2002
1,55,1,1,0,10021,1,22,3,50,2002
1,39,2,1,4,10021,1,22,3,50,2002
1,30,1,1,4,10022,1,20,9,5,2002
1,30,2,2,3,10022,1,20,9,5,2002
1,36,2,2,3,10022,1,20,9,5,2002
1,39,1,2,4,10022,1,20,9,5,2002
1,58,1,1,4,10023,1,25,19,35,2002
1,48,2,1,3,10023,1,25,19,35,2002
1,78,1,1,0,10024,1,26,19,0,2002
1,20,1,1,4,10024,1,26,19,0,2002
1,31,2,1,0,10024,1,26,19,0,2002
1,99,9,1,9,10024,1,26,19,0,2002
1,29,2,1,3,10025,1,7,9,35,2002
1,28,1,2,3,10025,1,7,9,35,2002
1,5,1,2,4,10025,1,7,9,35,2002
1,32,1,1,3,10025,1,7,9,35,2002
1,71,2,1,4,10026,1,25,7,45,2002
1,31,1,1,3,10027,1,13,10,30,2002
1,76,1,1,3,10027,1,13,10,30,2002
1,81,2,2,4,10027,1,13,10,30,2002
1,23,1,1,4,10028,1,2,18,20,2002
1,44,2,1,3,10029,1,14,19,35,2002
1,41,1,1,3,10029,1,14,19,35,2002
1,35,2,2,4,10029,1,14,19,35,2002
1,9,2,2,3,10029,1,14,19,35,2002
1,20,2,1,0,10030,1,16,15,35,2002
1,44,2,1,4,10030,1,16,15,35,2002
1,29,1,1,4,10031,1,22,15,45,2002
1,46,1,1,3,10031,1,22,15,45,2002
1,56,1,1,4,10032,1,22,11,0,2002
1,42,2,1,4,10033,1,23,17,55,2002
1,19,1,1,0,10033,1,23,17,55,2002
1,43,2,1,4,10034,1,12,20,30,2002
1,42,2,2,3,10034,1,12,20,30,2002
1,31,2,1,0,10034,1,12,20,30,2002
1,34,1,1,4,10035,1,25,16,15,2002
1,15,2,1,0,10035,1,25,16,15,2002
1,20,1,1,3,10036,1,13,2,11,2002
1,27,2,1,4,10036,1,13,2,11,2002
1,27,1,1,4,10037,1,26,5,0,2002
1,24,1,1,4,10038,1,1,7,50,2002
1,76,1,1,4,10039,1,10,9,15,2002
1,30,2,1,3,10039,1,10,9,15,2002
1,21,1,1,4,10040,1,26,0,40,2002
1,16,1,1,4,10041,1,25,22,16,2002
1,15,1,2,3,10041,1,25,22,16,2002
1,26,1,1,4,10042,1,24,21,39,2002
1,74,1,1,4,10043,1,4,16,45,2002
1,62,1,1,4,10044,1,11,11,47,2002
1,45,1,1,0,10044,1,11,11,47,2002
1,69,1,1,3,10045,1,17,13,40,2002
1,72,1,1,4,10045,1,17,13,40,2002
1,29,1,1,0,10045,1,17,13,40,2002
1,42,1,1,3,10046,1,26,19,29,2002
1,45,2,2,4,10046,1,26,19,29,2002
1,30,1,1,3,10046,1,26,19,29,2002
1,68,1,1,4,10047,1,18,14,53,2002
1,22,2,1,4,10048,1,31,1,58,2002
1,40,2,2,3,10048,1,31,1,58,2002
1,27,1,2,3,10048,1,31,1,58,2002
1,48,1,1,0,10049,1,3,12,5,2002
1,68,2,1,4,10049,1,3,12,5,2002
1,23,2,2,3,10049,1,3,12,5,2002
1,13,1,2,3,10049,1,3,12,5,2002
1,66,1,5,4,10050,1,8,18,55,2002
1,66,1,1,0,10050,1,8,18,55,2002
1,27,1,1,4,10051,1,24,1,40,2002
1,33,1,1,3,10051,1,24,1,40,2002
1,43,2,1,4,10052,1,31,14,25,2002
1,19,1,5,3,10053,1,30,16,15,2002
1,24,1,1,4,10053,1,30,16,15,2002
1,40,1,1,4,10054,1,23,5,10,2002
1,65,1,1,4,10054,1,23,5,10,2002
1,36,1,1,4,10055,1,19,19,48,2002
1,38,2,1,4,10056,1,30,13,30,2002
1,18,1,1,0,10057,1,5,10,25,2002
1,99,9,2,0,10057,1,5,10,25,2002
1,99,9,2,0,10057,1,5,10,25,2002
1,34,1,1,4,10057,1,5,10,25,2002
1,32,1,1,3,10058,1,27,19,40,2002
1,22,2,1,4,10058,1,27,19,40,2002
1,44,1,1,0,10059,1,30,6,5,2002
1,31,1,1,3,10059,1,30,6,5,2002
1,36,1,2,4,10059,1,30,6,5,2002
1,9,1,5,4,10060,1,10,16,57,2002
1,24,2,1,0,10060,1,10,16,57,2002
1,99,9,2,0,10060,1,10,16,57,2002
1,99,9,2,0,10060,1,10,16,57,2002
1,34,1,1,4,10061,1,19,21,50,2002
1,39,1,1,0,10062,1,8,21,39,2002
1,19,1,1,3,10062,1,8,21,39,2002
1,21,1,2,4,10062,1,8,21,39,2002
1,86,1,1,4,10063,1,29,13,14,2002
1,61,1,1,2,10063,1,29,13,14,2002
1,38,2,1,4,10064,1,31,14,0,2002
1,71,1,1,4,10065,1,17,8,32,2002
1,41,1,1,3,10065,1,17,8,32,2002
1,31,1,1,0,10066,1,23,15,55,2002
1,70,2,1,4,10066,1,23,15,55,2002
1,70,1,2,3,10066,1,23,15,55,2002
1,39,1,1,4,10067,2,19,22,25,2002
1,18,2,1,4,10068,2,7,8,22,2002
1,43,1,1,0,10068,2,7,8,22,2002
1,89,1,1,4,10069,2,11,17,14,2002
1,52,2,1,4,10070,2,25,20,38,2002
1,14,2,2,3,10070,2,25,20,38,2002
1,57,1,1,0,10070,2,25,20,38,2002
1,23,1,1,0,10071,2,13,11,45,2002
1,75,2,1,4,10071,2,13,11,45,2002
1,62,1,2,4,10071,2,13,11,45,2002
1,48,1,1,4,10072,2,24,19,35,2002
1,40,1,1,4,10073,2,6,15,40,2002
1,27,1,1,4,10074,2,2,20,30,2002
1,38,1,1,4,10075,2,15,16,45,2002
1,47,1,1,3,10076,2,20,17,30,2002
1,53,2,2,3,10076,2,20,17,30,2002
1,49,2,2,4,10076,2,20,17,30,2002
1,25,1,1,3,10076,2,20,17,30,2002
1,60,1,1,4,10077,2,1,7,0,2002
1,49,1,5,4,10078,2,17,15,40,2002
1,20,1,1,0,10078,2,17,15,40,2002
1,30,1,1,4,10079,2,24,3,0,2002
1,44,2,1,4,10080,2,27,19,25,2002
1,60,1,1,4,10081,2,3,10,0,2002
1,53,1,2,3,10081,2,3,10,0,2002
1,35,1,1,4,10082,2,26,7,25,2002
1,24,1,1,3,10083,2,4,4,40,2002
1,59,1,1,4,10083,2,4,4,40,2002
1,22,1,1,4,10084,2,28,4,40,2002
1,39,1,5,4,10085,2,12,21,10,2002
1,59,2,1,0,10085,2,12,21,10,2002
1,99,9,2,0,10085,2,12,21,10,2002
1,42,1,1,4,10086,2,4,0,15,2002
1,39,2,1,4,10087,2,20,7,50,2002
1,20,2,1,0,10088,2,21,15,50,2002
1,62,2,1,4,10088,2,21,15,50,2002
1,64,1,1,4,10089,2,6,23,30,2002
1,23,1,1,4,10090,2,3,22,30,2002
1,19,1,1,4,10091,2,9,9,15,2002
1,44,1,2,4,10091,2,9,9,15,2002
1,51,1,1,0,10091,2,9,9,15,2002
1,72,2,1,4,10092,2,21,16,20,2002
1,49,1,1,3,10092,2,21,16,20,2002
1,16,1,1,4,10093,2,6,20,30,2002
1,24,1,1,0,10094,2,5,23,50,2002
1,21,2,2,3,10094,2,5,23,50,2002
1,76,1,2,3,10094,2,5,23,50,2002
1,21,2,2,4,10094,2,5,23,50,2002
1,42,1,1,0,10094,2,5,23,50,2002
1,28,2,1,4,10095,2,11,7,50,2002
1,26,1,1,3,10095,2,11,7,50,2002
1,19,1,1,4,10096,2,8,23,35,2002
1,82,2,1,4,10097,2,21,17,0,2002
1,21,1,1,2,10097,2,21,17,0,2002
1,40,2,1,4,10098,2,4,18,20,2002
1,35,1,2,3,10098,2,4,18,20,2002
1,13,1,2,3,10098,2,4,18,20,2002
1,25,1,1,3,10098,2,4,18,20,2002
1,23,2,1,3,10099,2,9,2,40,2002
1,20,1,2,4,10099,2,9,2,40,2002
1,39,2,1,4,10100,2,14,19,10,2002
1,23,1,1,2,10100,2,14,19,10,2002
1,25,1,1,4,10101,2,12,19,59,2002
1,46,2,1,4,10102,2,3,6,30,2002
1,44,1,2,3,10102,2,3,6,30,2002
1,27,2,1,4,10103,2,17,6,14,2002
1,29,1,2,3,10103,2,17,6,14,2002
1,37,2,1,4,10104,2,1,0,55,2002
1,33,1,1,0,10105,2,9,11,40,2002
1,48,1,1,3,10105,2,9,11,40,2002
1,77,1,2,4,10105,2,9,11,40,2002
1,50,2,2,3,10105,2,9,11,40,2002
1,72,1,1,4,10106,2,12,13,20,2002
1,21,2,1,3,10107,2,27,7,30,2002
1,86,1,1,4,10107,2,27,7,30,2002
1,19,2,1,3,10108,2,1,19,4,2002
1,51,1,1,4,10108,2,1,19,4,2002
1,37,1,2,3,10108,2,1,19,4,2002
1,99,9,2,0,10108,2,1,19,4,2002
1,99,9,2,0,10108,2,1,19,4,2002
1,77,2,1,0,10109,2,6,14,20,2002
1,53,1,1,4,10109,2,6,14,20,2002
1,30,1,1,4,10110,2,15,6,0,2002
1,34,1,1,4,10111,2,7,22,53,2002
1,29,1,1,4,10112,2,10,2,30,2002
1,31,2,1,3,10113,2,14,9,45,2002
1,44,2,2,4,10113,2,14,9,45,2002
1,33,1,1,0,10114,2,10,10,30,2002
1,99,9,2,0,10114,2,10,10,30,2002
1,45,2,1,3,10114,2,10,10,30,2002
1,44,2,1,4,10114,2,10,10,30,2002
1,29,2,1,4,10115,2,7,16,40,2002
1,1,2,2,3,10115,2,7,16,40,2002
1,53,1,1,0,10116,2,19,20,15,2002
1,18,1,1,4,10116,2,19,20,15,2002
1,85,1,1,4,10117,2,14,11,40,2002
1,45,1,1,0,10117,2,14,11,40,2002
1,19,1,1,4,10118,2,20,23,35,2002
1,34,1,1,4,10119,2,27,12,45,2002
1,32,1,1,4,10120,2,17,3,30,2002
1,39,1,1,4,10121,2,16,21,30,2002
1,46,1,1,4,10122,2,17,8,24,2002
1,12,2,2,3,10122,2,17,8,24,2002
1,12,2,2,3,10122,2,17,8,24,2002
1,5,2,2,3,10122,2,17,8,24,2002
1,9,2,2,3,10122,2,17,8,24,2002
1,31,1,1,3,10122,2,17,8,24,2002
1,33,1,2,3,10122,2,17,8,24,2002
1,30,1,1,4,10123,2,17,14,40,2002
1,82,1,1,3,10123,2,17,14,40,2002
1,72,2,2,3,10123,2,17,14,40,2002
1,68,1,1,4,10124,2,20,11,40,2002
1,59,1,1,1,10125,3,1,10,3,2002
1,68,1,1,4,10125,3,1,10,3,2002
1,35,2,1,4,10126,2,14,20,5,2002
1,11,1,2,3,10126,2,14,20,5,2002
1,59,1,1,1,10127,3,1,12,30,2002
1,35,1,1,1,10127,3,1,12,30,2002
1,35,2,2,4,10127,3,1,12,30,2002
1,36,1,1,4,10128,3,2,21,50,2002
1,33,1,2,4,10128,3,2,21,50,2002
1,55,2,1,1,10128,3,2,21,50,2002
1,19,1,1,4,10129,3,3,0,20,2002
1,40,2,1,4,10130,3,2,18,30,2002
1,4,1,2,4,10130,3,2,18,30,2002
1,30,2,1,1,10130,3,2,18,30,2002
1,20,2,2,1,10130,3,2,18,30,2002
1,8,2,2,1,10130,3,2,18,30,2002
1,2,2,2,1,10130,3,2,18,30,2002
1,32,2,1,1,10131,3,7,13,10,2002
1,99,9,2,0,10131,3,7,13,10,2002
1,69,2,1,1,10131,3,7,13,10,2002
1,75,1,2,4,10131,3,7,13,10,2002
1,21,2,1,4,10132,3,10,3,5,2002
1,27,1,1,1,10132,3,10,3,5,2002
1,23,1,2,4,10132,3,10,3,5,2002
1,34,1,1,4,10133,3,1,23,15,2002
1,32,1,1,4,10134,3,11,16,35,2002
1,34,1,1,1,10134,3,11,16,35,2002
1,66,1,2,3,10134,3,11,16,35,2002
1,30,1,1,4,10135,3,3,3,0,2002
1,29,1,2,4,10135,3,3,3,0,2002
1,25,1,1,4,10136,3,2,4,45,2002
1,32,1,1,4,10136,3,2,4,45,2002
1,29,1,2,3,10136,3,2,4,45,2002
1,77,1,1,4,10137,3,9,23,0,2002
1,38,1,1,9,10137,3,9,23,0,2002
1,56,1,1,4,10138,3,6,10,55,2002
1,61,1,1,4,10139,3,6,3,35,2002
1,34,2,1,1,10140,3,8,17,25,2002
1,5,2,2,4,10140,3,8,17,25,2002
1,58,1,1,4,10141,3,6,8,4,2002
1,24,2,1,4,10141,3,6,8,4,2002
1,43,1,1,4,10142,3,10,20,20,2002
1,44,2,1,4,10143,3,12,17,45,2002
1,69,1,2,3,10143,3,12,17,45,2002
1,13,1,2,3,10143,3,12,17,45,2002
1,12,1,2,3,10143,3,12,17,45,2002
1,37,1,2,3,10143,3,12,17,45,2002
1,32,2,1,3,10143,3,12,17,45,2002
1,2,1,2,3,10143,3,12,17,45,2002
1,22,1,1,4,10144,3,15,4,25,2002
1,53,1,1,0,10144,3,15,4,25,2002
1,35,2,1,9,10145,3,19,9,15,2002
1,82,1,1,4,10145,3,19,9,15,2002
1,22,1,1,4,10146,3,7,19,10,2002
1,28,1,1,4,10147,3,19,23,55,2002
1,21,1,5,4,10148,3,15,12,45,2002
1,27,1,1,0,10148,3,15,12,45,2002
1,48,2,1,9,10149,3,14,15,10,2002
1,58,1,1,4,10149,3,14,15,10,2002
1,64,1,1,1,10150,3,15,21,22,2002
1,56,2,2,1,10150,3,15,21,22,2002
1,38,2,2,4,10150,3,15,21,22,2002
1,15,2,2,1,10150,3,15,21,22,2002
1,45,1,1,1,10150,3,15,21,22,2002
1,74,2,1,1,10151,3,11,12,30,2002
1,81,2,2,1,10151,3,11,12,30,2002
1,56,2,1,1,10151,3,11,12,30,2002
1,82,1,2,1,10151,3,11,12,30,2002
1,76,2,2,4,10151,3,11,12,30,2002
1,21,2,1,4,10152,3,14,5,45,2002
1,22,2,2,1,10152,3,14,5,45,2002
1,21,2,1,4,10154,3,10,8,10,2002
1,28,1,2,1,10154,3,10,8,10,2002
1,38,2,1,1,10155,3,14,4,47,2002
1,78,2,2,4,10155,3,14,4,47,2002
1,80,1,1,4,10156,3,15,18,0,2002
1,20,1,2,1,10156,3,15,18,0,2002
1,20,1,2,1,10156,3,15,18,0,2002
1,17,2,1,4,10157,3,17,3,0,2002
1,51,1,5,4,10158,3,21,7,45,2002
1,39,1,1,1,10158,3,21,7,45,2002
1,24,1,1,4,10159,3,1,2,40,2002
1,43,2,5,4,10160,3,10,1,55,2002
1,21,1,1,9,10160,3,10,1,55,2002
1,36,2,1,4,10161,3,11,11,7,2002
1,38,2,1,4,10162,3,15,18,30,2002
1,79,1,1,0,10162,3,15,18,30,2002
1,23,1,1,0,10162,3,15,18,30,2002
1,99,9,2,0,10162,3,15,18,30,2002
1,46,1,1,4,10163,3,18,17,20,2002
1,28,2,5,4,10164,3,18,21,8,2002
1,25,1,1,0,10164,3,18,21,8,2002
1,43,1,1,4,10165,3,22,16,5,2002
1,99,9,2,0,10165,3,22,16,5,2002
1,31,1,1,4,10166,3,26,21,20,2002
1,25,1,1,4,10167,3,15,4,20,2002
1,18,1,2,4,10167,3,15,4,20,2002
1,19,1,1,3,10167,3,15,4,20,2002
1,50,1,1,4,10168,3,20,0,45,2002
1,18,1,1,3,10169,2,12,20,48,2002
1,46,2,1,0,10169,2,12,20,48,2002
1,99,9,2,0,10169,2,12,20,48,2002
1,99,9,2,1,10169,2,12,20,48,2002
1,18,1,1,4,10169,2,12,20,48,2002
1,18,2,2,3,10169,2,12,20,48,2002
1,23,1,1,3,10170,3,29,0,1,2002
1,33,1,2,4,10170,3,29,0,1,2002
1,32,1,1,3,10171,3,22,13,40,2002
1,30,1,2,4,10171,3,22,13,40,2002
1,59,1,1,0,10172,3,4,19,25,2002
1,27,2,1,4,10172,3,4,19,25,2002
1,27,1,2,3,10172,3,4,19,25,2002
1,8,1,2,3,10172,3,4,19,25,2002
1,99,9,2,0,10172,3,4,19,25,2002
1,52,1,1,4,10173,3,28,20,24,2002
1,10,2,2,4,10173,3,28,20,24,2002
1,44,2,1,4,10173,3,28,20,24,2002
1,72,2,2,4,10173,3,28,20,24,2002
1,66,2,2,4,10173,3,28,20,24,2002
1,68,1,2,3,10173,3,28,20,24,2002
1,55,2,1,4,10173,3,28,20,24,2002
1,49,1,1,4,10174,3,12,22,25,2002
1,24,1,1,3,10175,3,22,1,5,2002
1,35,1,2,4,10175,3,22,1,5,2002
1,48,1,1,4,10176,3,8,1,26,2002
1,78,1,1,4,10177,3,21,17,0,2002
1,75,2,2,3,10177,3,21,17,0,2002
1,29,1,1,4,10178,3,1,3,10,2002
1,23,1,2,4,10178,3,1,3,10,2002
1,79,1,1,4,10179,3,25,12,10,2002
1,29,2,1,4,10180,3,29,17,30,2002
1,16,1,2,4,10180,3,29,17,30,2002
1,17,2,2,4,10180,3,29,17,30,2002
1,41,1,1,4,10181,3,30,16,55,2002
1,37,1,1,3,10181,3,30,16,55,2002
1,27,1,1,3,10182,3,30,13,10,2002
1,4,2,2,3,10182,3,30,13,10,2002
1,22,2,1,3,10182,3,30,13,10,2002
1,24,2,2,4,10182,3,30,13,10,2002
1,42,1,1,1,10182,3,30,13,10,2002
1,41,2,2,1,10182,3,30,13,10,2002
1,69,1,1,4,10183,3,23,15,58,2002
1,56,1,1,4,10184,3,26,5,5,2002
1,73,1,1,4,10185,3,27,6,59,2002
1,26,1,1,4,10186,3,29,15,40,2002
1,53,1,1,4,10187,3,15,10,43,2002
1,46,1,1,4,10188,3,16,5,39,2002
1,45,2,1,3,10189,3,29,16,15,2002
1,9,1,2,4,10189,3,29,16,15,2002
1,3,1,2,3,10189,3,29,16,15,2002
1,10,1,2,3,10189,3,29,16,15,2002
1,36,1,1,0,10189,3,29,16,15,2002
1,38,1,1,4,10190,3,18,17,50,2002
1,19,1,1,4,10191,3,3,2,1,2002
1,45,1,1,4,10192,3,29,0,30,2002
1,47,1,5,4,10193,3,7,19,45,2002
1,19,1,5,1,10193,3,7,19,45,2002
1,41,1,1,0,10193,3,7,19,45,2002
1,17,1,1,4,10194,3,8,14,39,2002
1,20,2,2,3,10194,3,8,14,39,2002
1,40,2,1,3,10194,3,8,14,39,2002
1,43,1,1,0,10194,3,8,14,39,2002
1,16,1,1,4,10195,3,29,12,5,2002
1,21,1,5,4,10196,3,23,23,34,2002
1,24,1,5,2,10196,3,23,23,34,2002
1,46,1,1,0,10196,3,23,23,34,2002
1,99,9,2,0,10196,3,23,23,34,2002
1,99,9,2,0,10196,3,23,23,34,2002
1,37,1,1,4,10197,3,23,0,35,2002
1,39,1,1,4,10198,3,30,0,5,2002
1,40,1,1,3,10198,3,30,0,5,2002
1,46,1,2,3,10198,3,30,0,5,2002
1,21,2,1,0,10198,3,30,0,5,2002
1,99,9,2,0,10198,3,30,0,5,2002
1,99,9,2,0,10198,3,30,0,5,2002
1,62,2,1,4,10199,3,2,16,7,2002
1,72,2,2,3,10199,3,2,16,7,2002
1,5,2,2,2,10199,3,2,16,7,2002
1,78,1,1,0,10199,3,2,16,7,2002
1,29,1,1,4,10200,3,23,20,50,2002
1,18,1,2,4,10200,3,23,20,50,2002
1,51,1,1,4,10200,3,23,20,50,2002
1,22,1,2,3,10200,3,23,20,50,2002
1,21,1,2,4,10201,3,24,1,55,2002
1,20,2,1,3,10201,3,24,1,55,2002
1,19,1,1,4,10202,3,8,1,20,2002
1,42,1,1,4,10203,3,25,21,30,2002
1,44,1,1,4,10204,3,19,16,25,2002
1,17,1,1,0,10205,3,21,16,40,2002
1,62,1,1,4,10205,3,21,16,40,2002
1,32,2,1,3,10206,3,27,22,25,2002
1,2,2,2,4,10206,3,27,22,25,2002
1,99,9,2,0,10206,3,27,22,25,2002
1,18,2,1,3,10207,3,30,13,47,2002
1,19,2,2,4,10207,3,30,13,47,2002
1,23,1,1,4,10208,3,30,5,50,2002
1,41,2,5,4,10209,3,31,1,10,2002
1,19,1,1,0,10209,3,31,1,10,2002
1,99,9,2,0,10209,3,31,1,10,2002
1,65,1,1,0,10210,3,4,7,24,2002
1,41,2,1,1,10210,3,4,7,24,2002
1,9,2,2,4,10210,3,4,7,24,2002
1,50,1,1,0,10211,3,16,11,51,2002
1,99,9,2,0,10211,3,16,11,51,2002
1,34,2,1,0,10211,3,16,11,51,2002
1,55,1,1,4,10211,3,16,11,51,2002
1,35,1,2,3,10211,3,16,11,51,2002
1,22,1,1,2,10212,3,30,21,0,2002
1,29,1,2,0,10212,3,30,21,0,2002
1,18,1,1,3,10212,3,30,21,0,2002
1,15,1,2,4,10212,3,30,21,0,2002
1,18,1,1,4,10213,3,31,1,58,2002
1,16,1,2,4,10213,3,31,1,58,2002
1,18,1,2,3,10213,3,31,1,58,2002
1,15,1,2,3,10213,3,31,1,58,2002
1,42,1,1,0,10214,3,27,10,34,2002
1,33,1,1,4,10214,3,27,10,34,2002
1,99,9,2,0,10214,3,27,10,34,2002
1,28,2,1,4,10215,4,1,9,0,2002
1,53,1,1,3,10215,4,1,9,0,2002
1,35,1,1,0,10216,4,25,6,45,2002
1,86,1,1,4,10216,4,25,6,45,2002
1,27,2,1,4,10217,4,2,20,20,2002
1,37,1,1,4,10218,4,13,23,13,2002
1,18,1,1,3,10218,4,13,23,13,2002
1,13,1,2,3,10218,4,13,23,13,2002
1,12,1,2,3,10218,4,13,23,13,2002
1,19,2,2,3,10218,4,13,23,13,2002
1,23,1,1,4,10219,4,3,14,15,2002
1,45,1,1,0,10219,4,3,14,15,2002
1,99,9,2,0,10219,4,3,14,15,2002
1,51,1,1,4,10220,4,21,13,40,2002
1,35,1,1,4,10221,4,30,1,25,2002
1,34,1,1,0,10221,4,30,1,25,2002
1,20,1,1,0,10222,4,5,21,58,2002
1,17,2,2,4,10222,4,5,21,58,2002
1,18,1,1,3,10223,4,7,5,45,2002
1,19,1,2,3,10223,4,7,5,45,2002
1,19,1,2,3,10223,4,7,5,45,2002
1,20,2,1,3,10223,4,7,5,45,2002
1,53,2,2,4,10223,4,7,5,45,2002
1,17,1,1,4,10224,4,3,22,1,2002
1,53,1,1,4,10225,4,6,22,0,2002
1,56,2,2,2,10225,4,6,22,0,2002
1,49,1,1,4,10226,4,19,15,20,2002
1,18,2,1,1,10226,4,19,15,20,2002
1,99,9,2,0,10226,4,19,15,20,2002
1,69,1,1,4,10227,4,8,14,10,2002
1,24,2,5,3,10229,4,8,21,25,2002
1,47,2,5,4,10229,4,8,21,25,2002
1,20,2,1,0,10229,4,8,21,25,2002
1,99,9,2,0,10229,4,8,21,25,2002
1,99,9,2,0,10229,4,8,21,25,2002
1,99,9,2,0,10229,4,8,21,25,2002
1,99,9,2,0,10229,4,8,21,25,2002
1,17,2,1,4,10230,4,12,15,10,2002
1,31,1,1,4,10231,4,8,17,0,2002
1,12,1,2,2,10231,4,8,17,0,2002
1,9,2,2,3,10231,4,8,17,0,2002
1,11,2,2,3,10231,4,8,17,0,2002
1,29,2,5,4,10232,4,17,20,9,2002
1,35,1,1,0,10232,4,17,20,9,2002
1,20,2,1,4,10233,4,3,10,24,2002
1,20,2,2,4,10233,4,3,10,24,2002
1,69,1,1,3,10234,4,19,15,35,2002
1,77,1,2,3,10234,4,19,15,35,2002
1,72,2,2,3,10234,4,19,15,35,2002
1,19,2,2,3,10234,4,19,15,35,2002
1,93,2,2,4,10234,4,19,15,35,2002
1,1,2,2,3,10234,4,19,15,35,2002
1,53,1,1,0,10234,4,19,15,35,2002
1,99,9,2,0,10234,4,19,15,35,2002
1,88,1,1,4,10235,4,12,18,30,2002
1,82,2,2,3,10235,4,12,18,30,2002
1,17,1,1,3,10236,4,14,16,40,2002
1,14,2,2,4,10236,4,14,16,40,2002
1,7,1,2,4,10236,4,14,16,40,2002
1,46,1,1,4,10237,4,14,20,24,2002
1,31,1,1,4,10238,4,19,2,30,2002
1,31,2,2,4,10238,4,19,2,30,2002
1,21,1,1,3,10239,4,22,20,30,2002
1,19,1,2,3,10239,4,22,20,30,2002
1,18,2,2,4,10239,4,22,20,30,2002
1,42,1,1,0,10240,4,24,16,15,2002
1,16,2,2,4,10240,4,24,16,15,2002
1,99,9,2,0,10240,4,24,16,15,2002
1,51,1,1,4,10241,4,23,7,21,2002
1,23,1,1,4,10242,4,16,21,43,2002
1,22,2,1,3,10243,4,21,14,5,2002
1,21,2,2,4,10243,4,21,14,5,2002
1,80,1,1,4,10244,4,24,22,30,2002
1,21,1,1,3,10245,4,17,17,15,2002
1,23,1,2,4,10245,4,17,17,15,2002
1,26,2,1,3,10245,4,17,17,15,2002
1,52,2,1,4,10246,4,20,14,30,2002
1,19,1,1,4,10247,4,20,17,35,2002
1,72,1,1,4,10248,4,19,10,5,2002
1,70,2,2,3,10248,4,19,10,5,2002
1,46,1,1,0,10248,4,19,10,5,2002
1,22,1,1,4,10249,4,19,12,35,2002
1,21,1,1,3,10250,4,20,2,15,2002
1,30,1,2,4,10250,4,20,2,15,2002
1,6,1,6,4,10251,4,25,17,15,2002
1,46,2,1,0,10251,4,25,17,15,2002
1,28,1,1,4,10252,4,5,1,0,2002
1,68,1,1,4,10253,4,23,14,20,2002
